scenario,policy,train_seed,episode,weighted_completed_value,weighted_goodput,weighted_goodput_rate,sla_success_ratio,p95_latency,demand_loss,mean_abs_advantage,policy_entropy
moderate,vanilla_a2c,20260717,0.0,35.1,35.1,0.43754984580701695,0.45,31.670279121398924,0.0,2.4542924103140833,1.2345748267529635
moderate,vanilla_a2c,20260717,1.0,54.80000000000002,54.80000000000002,0.701358885531764,0.8235294117647058,31.9492618560791,0.0,4.370971926349275,0.9996454384653242
moderate,vanilla_a2c,20260717,2.0,37.5,37.5,0.5174626358160028,0.9090909090909091,30.566029548645016,0.0,2.7698275049527488,1.1466457509544559
moderate,vanilla_a2c,20260717,3.0,30.2,30.2,0.3810931519293516,0.47058823529411764,29.145878791809082,0.0,1.9659488379955292,1.2796181256906773
moderate,vanilla_a2c,20260717,4.0,36.900000000000006,36.900000000000006,0.4927467249924744,0.625,35.14261054992676,0.0,2.1124737146424084,1.2898181706307696
moderate,vanilla_a2c,20260717,5.0,40.400000000000006,40.400000000000006,0.5748208221575497,0.6875,28.63019561767578,0.0,1.920473945267657,1.2959830563828347
moderate,vanilla_a2c,20260717,6.0,29.799999999999997,29.799999999999997,0.5119414756092666,0.47058823529411764,24.493327236175535,0.0,2.1491737293034063,1.3880577816511857
moderate,vanilla_a2c,20260717,7.0,26.1,26.1,0.3500715646973937,0.4666666666666667,30.864178466796876,0.0,2.5276122846537166,0.9440280111038825
moderate,vanilla_a2c,20260717,8.0,35.199999999999996,35.199999999999996,0.502569412739169,0.5882352941176471,28.437816715240476,0.0,3.5325917322584925,1.0968699147167316
moderate,vanilla_a2c,20260717,9.0,40.0,40.0,0.5059555710182698,0.7857142857142857,24.753847122192383,0.0,3.5427487158045476,1.1437789126450737
moderate,vanilla_a2c,20260717,10.0,36.1,36.1,0.5566580385788592,1.0,17.514291954040527,0.0,4.946467068460253,0.7471967447195996
moderate,vanilla_a2c,20260717,11.0,48.600000000000016,48.600000000000016,0.6076637987021613,0.8666666666666667,29.23195877075195,0.0,3.4011649618733606,1.24522160642368
moderate,vanilla_a2c,20260717,12.0,53.70000000000001,53.70000000000001,0.6796230822590199,0.9333333333333333,30.757200050354005,0.0,4.546354387815182,0.9248250005551083
moderate,vanilla_a2c,20260717,13.0,54.900000000000006,54.900000000000006,0.6360251731300635,0.9375,27.232695388793942,0.0,3.395565843895862,0.8600678479335842
moderate,vanilla_a2c,20260717,14.0,42.4,42.4,0.6063076202294518,1.0,22.18954086303711,0.0,4.0485190617483715,0.79470870598797
moderate,vanilla_a2c,20260717,15.0,45.400000000000006,45.400000000000006,0.6511094777753526,1.0,21.51931619644165,0.0,2.874020749016812,0.9293962457424811
moderate,vanilla_a2c,20260717,16.0,32.7,32.7,0.5028764935753345,1.0,25.910328674316407,0.0,2.4084573531592333,0.9236405036506447
moderate,vanilla_a2c,20260717,17.0,47.2,47.2,0.6569067558142,0.8666666666666667,26.827999877929685,0.0,1.813769224679695,1.0516292261591984
moderate,vanilla_a2c,20260717,18.0,32.7,32.7,0.46969402617611744,0.47368421052631576,33.500092315673825,0.0,2.4072547380594496,1.5130833870514457
moderate,vanilla_a2c,20260717,19.0,52.000000000000014,52.000000000000014,0.7436008508672567,0.8235294117647058,25.066098022460938,0.0,3.418113964248677,1.0595827080890414
moderate,vanilla_a2c,20260717,20.0,49.90000000000001,49.90000000000001,0.6952451154915742,0.875,25.852009868621824,0.0,3.0603611203639405,0.9010504142177626
moderate,vanilla_a2c,20260717,21.0,47.50000000000001,47.50000000000001,0.6293548615490717,0.9285714285714286,26.38555984497069,0.0,2.3748977966606617,0.909940168689126
moderate,vanilla_a2c,20260717,22.0,35.0,35.0,0.4652903941106838,0.75,28.816161346435546,0.0,1.8699302045074668,0.9478426650855033
