scenario,policy,train_seed,episode,weighted_completed_value,weighted_goodput,weighted_goodput_rate,sla_success_ratio,p95_latency,demand_loss,mean_abs_advantage,policy_entropy
light,vanilla_a2c,20260717,0.0,31.2,31.2,0.5441471607992348,0.8,21.393328285217283,0.0,4.888127516055929,0.7661429365958815
light,vanilla_a2c,20260717,1.0,27.200000000000003,27.200000000000003,0.5438518571510036,1.0,19.551871490478515,0.0,3.837706154301053,0.616320066520383
light,vanilla_a2c,20260717,2.0,19.599999999999998,19.599999999999998,0.3423147629873171,1.0,20.28265724182129,0.0,1.596895334124565,0.6466806555079355
light,vanilla_a2c,20260717,3.0,15.399999999999999,15.399999999999999,0.26842606020325616,0.4,25.18751745223999,0.0,3.7526207518848507,0.823073792939831
light,vanilla_a2c,20260717,4.0,18.9,18.9,0.32927414470760735,0.8333333333333334,27.97338104248047,0.0,2.511517876670474,0.8851838362345281
light,vanilla_a2c,20260717,5.0,11.2,11.2,0.20810657516175182,0.375,30.767833709716797,0.0,1.2118208094647056,0.9450714876439698
light,vanilla_a2c,20260717,6.0,45.300000000000004,45.300000000000004,0.6805346983430912,0.8,26.31242570877075,0.0,3.482721374793486,0.9731246794820663
light,vanilla_a2c,20260717,7.0,18.4,18.4,0.28212339841556455,1.0,24.926165771484374,0.0,1.913369970396161,0.8197662649585964
light,vanilla_a2c,20260717,8.0,27.9,27.9,0.4217505087914445,1.0,22.40380163192749,0.0,3.061750783522924,0.8329136692246252
light,vanilla_a2c,20260717,9.0,24.900000000000002,24.900000000000002,0.4211421767737219,0.7777777777777778,25.666096115112303,0.0,2.470070107625081,0.969480434313957
light,vanilla_a2c,20260717,10.0,18.400000000000002,18.400000000000002,0.34667428153727403,1.0,18.09981002807617,0.0,1.7382634083429973,0.8254059598463763
light,vanilla_a2c,20260717,11.0,29.400000000000006,29.400000000000006,0.5747691124073563,1.0,25.48203439712524,0.0,2.3858754155891284,0.8247906049584248
light,vanilla_a2c,20260717,12.0,29.300000000000004,29.300000000000004,0.533444798750134,1.0,14.83826446533203,0.0,2.9150765891428345,0.7899197194828341
light,vanilla_a2c,20260717,13.0,25.299999999999997,25.299999999999997,0.45555763445101005,1.0,19.47704639434814,0.0,2.2238612782072136,0.770247929192611
light,vanilla_a2c,20260717,14.0,18.9,18.9,0.37326609201592553,1.0,18.016687011718748,0.0,1.361718009961279,0.8056275029777695
light,vanilla_a2c,20260717,15.0,23.2,23.2,0.3965315404093904,1.0,20.205357551574707,0.0,1.5135516728225507,0.7140162755846734
light,vanilla_a2c,20260717,16.0,16.700000000000003,16.700000000000003,0.29344754869767903,1.0,24.381195259094238,0.0,1.4024447798728943,0.7620506877165988
light,vanilla_a2c,20260717,17.0,25.299999999999997,25.299999999999997,0.4513770123839408,1.0,18.010345077514646,0.0,1.369551169020789,0.6887833147445539
light,vanilla_a2c,20260717,18.0,34.5,34.5,0.5661497300601589,1.0,23.126072120666503,0.0,2.583118539590102,0.8932233765666225
light,vanilla_a2c,20260717,19.0,34.0,34.0,0.6304307683936873,0.8181818181818182,22.165684127807616,0.0,1.9424013296763103,0.8251038841726356
